Sl no,Student id,Name,Branch,Group,Slot 1,Slot 2,Slot 3,Venue
1,1RV26AIML001,Aditi Pawar,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
2,1RV26AIML002,Anirudh Das,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
3,1RV26AIML003,Ishita Mishra,AIML,B,9:15 AM - 10:30 AM,,,civil
4,1RV26AIML004,Divya Kulkarni,AIML,B,9:15 AM - 10:30 AM,,,civil
5,1RV26AIML005,Anirudh Bhat,AIML,B,9:15 AM - 10:30 AM,,,civil
6,1RV26AIML006,Vishal Shetty,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
7,1RV26AIML007,Tanvi Kumar,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
8,1RV26AIML008,Lakshmi Desai,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
9,1RV26AIML009,Rachana Mehta,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
10,1RV26AIML010,Siddharth Nair,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
11,1RV26AIML011,Sneha Hegde,AIML,B,9:15 AM - 10:30 AM,,,civil
12,1RV26AIML012,Ritika Gowda,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
13,1RV26AIML013,Anirudh Desai,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
14,1RV26AIML014,Divya Patil,AIML,B,9:15 AM - 10:30 AM,,,civil
15,1RV26AIML015,Aryan Gupta,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
16,1RV26AIML016,Aman Menon,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
17,1RV26AIML017,Nandini Bhat,AIML,B,9:15 AM - 10:30 AM,,,civil
18,1RV26AIML018,Priya Hegde,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
19,1RV26AIML019,Aarav Das,AIML,B,9:15 AM - 10:30 AM,,,civil
20,1RV26AIML020,Rachana Rao,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
21,1RV26AIML021,Charvi Pawar,AIML,B,9:15 AM - 10:30 AM,,,civil
22,1RV26AIML022,Shashank Desai,AIML,B,9:15 AM - 10:30 AM,,,civil
23,1RV26AIML023,Pooja Shetty,AIML,B,9:15 AM - 10:30 AM,,,civil
24,1RV26AIML024,Nisha Shetty,AIML,B,9:15 AM - 10:30 AM,,,civil
25,1RV26AIML025,Sneha Das,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
26,1RV26AIML026,Dhruv Verma,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
27,1RV26AIML027,Manya Sharma,AIML,B,9:15 AM - 10:30 AM,,,civil
28,1RV26AIML028,Sai Reddy,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
29,1RV26AIML029,Tejas Iyer,AIML,B,9:15 AM - 10:30 AM,,,civil
30,1RV26AIML030,Aditi Das,AIML,B,9:15 AM - 10:30 AM,,,civil
31,1RV26AIML031,Riya Yadav,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
32,1RV26AIML032,Vivek Mehta,AIML,B,9:15 AM - 10:30 AM,,,civil
33,1RV26AIML033,Aman Menon,AIML,B,9:15 AM - 10:30 AM,,,civil
34,1RV26AIML034,Sanjana Patil,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
35,1RV26AIML035,Anika Kapoor,AIML,B,9:15 AM - 10:30 AM,,,chemical
36,1RV26AIML036,Aditi Gowda,AIML,B,9:15 AM - 10:30 AM,,,chemical
37,1RV26AIML037,Dhruv Kulkarni,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
38,1RV26AIML038,Anjali Shetty,AIML,B,9:15 AM - 10:30 AM,,,chemical
39,1RV26AIML039,Yash Iyer,AIML,B,9:15 AM - 10:30 AM,,,civil
40,1RV26AIML040,Aditi Reddy,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
41,1RV26AIML041,Madhav Soni,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
42,1RV26AIML042,Arjun Nair,AIML,B,9:15 AM - 10:30 AM,,,civil
43,1RV26AIML043,Divya Singh,AIML,B,9:15 AM - 10:30 AM,,,chemical
44,1RV26AIML044,Ishita Singh,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
45,1RV26AIML045,Rahul Pawar,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
46,1RV26AIML046,Harini Singh,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
47,1RV26AIML047,Priya Gowda,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
48,1RV26AIML048,Vivek Mehta,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
49,1RV26AIML049,Vaishnavi Gowda,AIML,B,9:15 AM - 10:30 AM,,,chemical
50,1RV26AIML050,Harini Mishra,AIML,B,9:15 AM - 10:30 AM,,,chemical
51,1RV26AIML051,Vaishnavi Das,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
52,1RV26AIML052,Harsh Jain,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
53,1RV26AIML053,Sneha Bhat,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
54,1RV26AIML054,Krishna Verma,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
55,1RV26AIML055,Shashank Verma,AIML,B,9:15 AM - 10:30 AM,,,civil
56,1RV26AIML056,Aryan Nair,AIML,B,9:15 AM - 10:30 AM,,,civil
57,1RV26AIML057,Siddharth Soni,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
58,1RV26AIML058,Pragya Verma,AIML,B,9:15 AM - 10:30 AM,,,mca
59,1RV26AIML059,Rachana Gowda,AIML,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
